date,open,high,low,close,volume
2024-11-13 09:00:00,52000,52500,52000,52400,3212699
2024-11-13 09:01:00,52300,52600,52300,52500,334665
2024-11-13 09:02:00,52500,52700,52500,52700,381290
2024-11-13 09:03:00,52700,52800,52600,52800,342509
2024-11-13 09:04:00,52800,52900,52500,52900,471890
2024-11-13 09:05:00,52900,53000,52700,52800,447726
2024-11-13 09:06:00,52800,52800,52500,52600,484518
2024-11-13 09:07:00,52600,52800,52600,52800,146607
2024-11-13 09:08:00,52700,52800,52500,52500,490401
2024-11-13 09:09:00,52500,52600,52400,52400,271393
2024-11-13 09:10:00,52400,52500,52300,52300,202102
2024-11-13 09:11:00,52400,52400,52100,52200,445979
2024-11-13 09:12:00,52200,52200,52100,52100,148012
2024-11-13 09:13:00,52200,52300,52100,52300,499937
2024-11-13 09:14:00,52200,52300,52200,52300,94938
2024-11-13 09:15:00,52300,52300,52000,52100,509277
2024-11-13 09:16:00,52000,52100,51800,51900,885944
2024-11-13 09:17:00,52000,52000,51800,51900,173587
2024-11-13 09:18:00,51800,51900,51800,51800,351558
2024-11-13 09:19:00,51800,51900,51700,51700,287257
2024-11-13 09:20:00,51800,51800,51700,51800,160398
2024-11-13 09:21:00,51800,52000,51700,51900,525777
2024-11-13 09:22:00,51900,52000,51800,52000,188666
2024-11-13 09:23:00,52000,52000,51900,52000,73295
2024-11-13 09:24:00,52000,52000,51800,51900,210831
2024-11-13 09:25:00,51800,51900,51800,51800,197203
2024-11-13 09:26:00,51800,51900,51800,51900,73869
2024-11-13 09:27:00,51900,51900,51800,51900,53920
2024-11-13 09:28:00,51900,51900,51700,51800,234907
2024-11-13 09:29:00,51800,51900,51700,51900,286214
2024-11-13 09:30:00,51900,52000,51800,52000,365458
2024-11-13 09:31:00,52000,52100,51900,52100,359030
2024-11-13 09:32:00,52100,52200,52000,52200,158865
2024-11-13 09:33:00,52200,52200,52100,52200,51668
2024-11-13 09:34:00,52200,52200,52000,52100,301809
2024-11-13 09:35:00,52200,52200,52100,52200,61834
2024-11-13 09:36:00,52200,52200,52100,52200,96932
2024-11-13 09:37:00,52100,52200,52100,52200,105759
2024-11-13 09:38:00,52200,52200,52100,52200,76393
2024-11-13 09:39:00,52200,52200,52000,52100,219335
2024-11-13 09:40:00,52100,52100,52000,52100,27857
2024-11-13 09:41:00,52000,52200,52000,52100,160118
2024-11-13 09:42:00,52200,52200,52100,52200,30376
2024-11-13 09:43:00,52200,52200,52100,52100,36220
2024-11-13 09:44:00,52200,52200,52000,52200,242998
2024-11-13 09:45:00,52200,52200,52000,52200,234824
2024-11-13 09:46:00,52200,52200,52000,52100,63151
2024-11-13 09:47:00,52000,52100,52000,52100,22985
2024-11-13 09:48:00,52100,52100,52000,52100,65400
2024-11-13 09:49:00,52100,52100,52000,52100,30609
2024-11-13 09:50:00,52100,52100,52000,52100,28430
2024-11-13 09:51:00,52100,52100,52000,52100,27530
2024-11-13 09:52:00,52100,52100,52000,52100,41913
2024-11-13 09:53:00,52100,52100,52000,52000,27975
2024-11-13 09:54:00,52100,52100,52000,52100,57920
2024-11-13 09:55:00,52100,52200,52000,52200,277588
2024-11-13 09:56:00,52200,52200,52100,52200,38616
2024-11-13 09:57:00,52200,52200,52100,52200,40095
2024-11-13 09:58:00,52100,52200,52000,52100,266233
2024-11-13 09:59:00,52100,52200,52000,52200,101632
2024-11-13 10:00:00,52200,52200,52100,52200,30649
2024-11-13 10:01:00,52200,52200,52100,52200,45979
2024-11-13 10:02:00,52200,52200,52100,52100,19703
2024-11-13 10:03:00,52200,52200,52100,52200,26134
2024-11-13 10:04:00,52100,52200,52000,52100,217249
2024-11-13 10:05:00,52100,52100,51900,52000,317991
2024-11-13 10:06:00,52000,52000,51900,52000,45494
2024-11-13 10:07:00,52000,52000,51900,52000,48195
2024-11-13 10:08:00,52000,52000,51800,51900,235266
2024-11-13 10:09:00,51900,52000,51800,51800,243998
2024-11-13 10:10:00,51900,51900,51800,51800,52781
2024-11-13 10:11:00,51900,51900,51800,51900,84515
2024-11-13 10:12:00,51900,51900,51800,51900,39037
2024-11-13 10:13:00,51900,51900,51800,51900,30434
2024-11-13 10:14:00,51800,52000,51800,51900,348118
2024-11-13 10:15:00,51900,52000,51800,52000,90320
2024-11-13 10:16:00,52000,52000,51900,52000,24466
2024-11-13 10:17:00,52000,52000,51900,51900,24475
2024-11-13 10:18:00,52000,52000,51800,51900,215675
2024-11-13 10:19:00,51900,51900,51800,51900,44014
2024-11-13 10:20:00,51900,51900,51800,51800,29065
2024-11-13 10:21:00,51900,51900,51800,51800,30136
2024-11-13 10:22:00,51900,51900,51800,51900,32682
2024-11-13 10:23:00,51900,51900,51800,51800,36748
2024-11-13 10:24:00,51900,51900,51800,51900,41462
2024-11-13 10:25:00,51900,51900,51700,51800,392381
2024-11-13 10:26:00,51800,51900,51700,51900,112626
2024-11-13 10:27:00,51800,51900,51800,51900,22841
2024-11-13 10:28:00,51900,51900,51800,51900,25384
2024-11-13 10:29:00,51900,51900,51800,51800,36381
2024-11-13 10:30:00,51900,51900,51800,51800,28287
2024-11-13 10:31:00,51900,51900,51800,51900,37249
2024-11-13 10:32:00,51800,51900,51800,51800,134605
2024-11-13 10:33:00,51900,51900,51700,51800,151740
2024-11-13 10:34:00,51700,51800,51700,51700,81480
2024-11-13 10:35:00,51700,51900,51700,51800,220180
2024-11-13 10:36:00,51800,51900,51700,51900,66367
2024-11-13 10:37:00,51900,51900,51800,51900,25908
2024-11-13 10:38:00,51900,51900,51700,51800,163532
2024-11-13 10:39:00,51900,51900,51800,51900,18687
2024-11-13 10:40:00,51900,52000,51800,51900,237783
2024-11-13 10:41:00,51900,52000,51800,51900,33962
2024-11-13 10:42:00,52000,52000,51800,51900,174006
2024-11-13 10:43:00,51900,51900,51800,51900,20264
2024-11-13 10:44:00,51900,51900,51800,51800,15109
2024-11-13 10:45:00,51900,51900,51800,51900,18328
2024-11-13 10:46:00,51900,52000,51800,51900,172101
2024-11-13 10:47:00,51900,52000,51900,52000,30457
2024-11-13 10:48:00,52000,52100,51900,52100,337049
2024-11-13 10:49:00,52100,52100,51900,52000,185165
2024-11-13 10:50:00,51900,52000,51900,52000,41700
2024-11-13 10:51:00,52000,52000,51900,52000,174101
2024-11-13 10:52:00,52000,52000,51900,52000,19168
2024-11-13 10:53:00,52000,52000,51900,52000,46778
2024-11-13 10:54:00,52000,52100,51900,52000,105453
2024-11-13 10:55:00,52000,52100,51900,52000,89763
2024-11-13 10:56:00,52000,52000,51900,52000,18531
2024-11-13 10:57:00,52000,52000,51800,51900,175994
2024-11-13 10:58:00,51900,51900,51800,51900,30820
2024-11-13 10:59:00,51900,52000,51800,52000,111675
2024-11-13 11:00:00,52000,52000,51900,52000,144578
2024-11-13 11:01:00,52000,52000,51900,52000,29787
2024-11-13 11:02:00,51900,52000,51800,52000,113634
2024-11-13 11:03:00,52000,52000,51900,51900,74789
2024-11-13 11:04:00,51900,52000,51900,52000,20811
2024-11-13 11:05:00,52000,52000,51900,52000,17017
2024-11-13 11:06:00,52000,52100,51900,52100,227955
2024-11-13 11:07:00,52100,52100,51900,52000,138880
2024-11-13 11:08:00,52000,52000,51900,52000,16346
2024-11-13 11:09:00,52000,52000,51900,52000,19403
2024-11-13 11:10:00,52000,52000,51900,51900,13406
2024-11-13 11:11:00,51900,52100,51900,52100,151537
2024-11-13 11:12:00,52000,52100,51900,52000,68456
2024-11-13 11:13:00,52000,52000,51900,52000,22803
2024-11-13 11:14:00,52000,52000,51900,52000,15009
2024-11-13 11:15:00,52000,52000,51900,52000,19057
2024-11-13 11:16:00,52000,52000,51900,52000,21304
2024-11-13 11:17:00,52000,52000,51900,52000,108962
2024-11-13 11:18:00,51900,52000,51900,51900,33336
2024-11-13 11:19:00,51900,52000,51800,51800,97136
2024-11-13 11:20:00,51900,51900,51800,51900,23172
2024-11-13 11:21:00,51900,51900,51800,51900,23287
2024-11-13 11:22:00,51900,51900,51800,51800,16286
2024-11-13 11:23:00,51900,51900,51800,51800,24038
2024-11-13 11:24:00,51900,51900,51800,51900,23433
