날짜,시가,고가,저가,종가,거래량,등락률
2014-01-02,26960,27100,26040,26180,620500,-4.591836734693878
2014-01-03,26000,26220,25740,25920,529932,-0.9931245225362872
2014-01-06,26060,26399,25920,26140,394716,0.8487654320987654
2014-01-07,26000,26360,25900,26080,395264,-0.22953328232593728
2014-01-08,26000,26080,25740,25820,409493,-0.9969325153374233
2014-01-09,26140,26140,25500,25500,425019,-1.2393493415956625
2014-01-10,25500,25720,25440,25440,363783,-0.2352941176470588
2014-01-13,25660,25940,25460,25900,328987,1.8081761006289307
2014-01-14,25940,26600,25800,26260,294333,1.3899613899613898
2014-01-15,26600,26619,25960,25980,234949,-1.0662604722010662
2014-01-16,26000,26200,25860,26020,195049,0.15396458814472672
2014-01-17,26020,26300,25840,25840,255485,-0.6917755572636434
2014-01-20,26100,26379,25920,26320,173656,1.8575851393188854
2014-01-21,26300,26540,26220,26480,151246,0.60790273556231
2014-01-22,26280,26560,26240,26560,216530,0.3021148036253776
2014-01-23,26320,26440,25980,25980,206739,-2.183734939759036
2014-01-24,26000,26360,25820,26140,280035,0.6158583525789069
2014-01-27,25860,26080,25700,25840,266926,-1.1476664116296864
2014-01-28,25460,25860,25460,25660,234027,-0.696594427244582
2014-01-29,25600,25760,25540,25600,383637,-0.23382696804364772
2014-02-03,25720,25760,25420,25440,325184,-0.625
2014-02-04,25260,25260,24980,24980,320660,-1.8081761006289307
2014-02-05,24900,25100,24680,24740,298533,-0.9607686148919135
2014-02-06,24900,25340,24800,25180,303949,1.7784963621665322
2014-02-07,25500,25580,25260,25500,198872,1.2708498808578237
2014-02-10,25420,25620,25240,25540,155993,0.1568627450980392
2014-02-11,25620,26300,25440,26220,253680,2.662490211433046
2014-02-12,26620,26620,26100,26140,200548,-0.30511060259344014
2014-02-13,26000,26400,25800,25960,116769,-0.6885998469778117
2014-02-14,25920,26160,25840,26020,124415,0.23112480739599386
2014-02-17,25840,26120,25600,25700,187733,-1.2298232129131437
2014-02-18,25700,25980,25640,25900,118213,0.7782101167315175
2014-02-19,26000,26000,25600,25800,123595,-0.3861003861003861
